!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
LATCHES	L_B AE_I CH_I IH_I Z_E
LATCHKEY	L_B AE_I CH_I K_I IY_E
LATE	L_B EY_I T_E #3
LATE-LY-	L_B EY_I T_E #4
LATECOMERS	L_B EY_I T_I K_I AH_I M_I ER_I Z_E
LATEK	L_B EY_I T_I EH_I K_E
LATELY	L_B EY_I T_I L_I IY_E #2
LATENCY	L_B EY_I T_I IH_I N_I S_I IY_E
LATENT	L_B EY_I T_I EN_I T_E
LATER	L_B EY_I T_I ER_E #2
LATERALLY	L_B AE_I T_I AX_I R_I AX_I L_I IY_E
LATEST	L_B EY_I T_I IH_I S_I T_E
LATEX	L_B EY_I T_I EH_I K_I S_E
LATHE	L_B EY_I DH_E
LATIN	L_B AE_I T_I EN_E
LATINO	L_B AE_I T_I IY_I N_I OW_E
LATINOS	L_B AE_I T_I IY_I N_I OW_I Z_E
LATINS	L_B AE_I T_I EN_I Z_E
LATITUDE	L_B AE_I T_I IH_I T_I UW_I D_E
LATITUDES	L_B AE_I T_I IH_I T_I UW_I D_I Z_E
LATRINES	L_B AX_I T_I R_I IY_I N_I Z_E
LATROBE	L_B AX_I T_I R_I OW_I B_E
LATTER	L_B AE_I T_I ER_E
LATVIA	L_B AE_I T_I V_I IY_I AX_E
LAU-RA-	L_B OW_I R_E #1
LAUDE	L_B AO_I D_E
LAUDERDALE	L_B AO_I D_I ER_I D_I EY_I L_E
LAUFENBERG	L_B AW_I F_I AX_I N_I B_I ER_I G_E
LAUGH	L_B AE_I F_E
LAUGHABLE	L_B AE_I F_I AX_I B_I AX_I L_E
LAUGHED	L_B AE_I F_I T_E #2
LAUGHING	L_B AE_I F_I IH_I NG_E
LAUGHS	L_B AE_I F_I S_E
LAUGHTER	L_B AE_I F_I T_I ER_E
LAUNCH	L_B AO_I N_I CH_E
LAUNCHED	L_B AO_I N_I CH_I T_E
LAUNCHERS	L_B AO_I N_I CH_I ER_I Z_E
LAUNCHES	L_B AO_I N_I CH_I IH_I Z_E
LAUNCHING	L_B AO_I N_I CH_I IH_I NG_E
LAUNDERING	L_B AO_I N_I D_I AX_I R_I IH_I NG_E
LAUNDROMAT	L_B AO_I N_I D_I R_I AX_I M_I AE_I T_E
LAUNDRY	L_B AO_I N_I D_I R_I IY_E
LAURA	L_B OW_I R_I AX_E
LAURA'S	L_B OW_I R_I AX_I Z_E
LAURAL	L_B OW_I R_I AX_I L_E #1
LAUREL	L_B OW_I R_I AX_I L_E #2
LAURIE	L_B OW_I R_I IY_E #1
LAVISH	L_B AE_I V_I IH_I SH_E
LAVISHLY	L_B AE_I V_I IH_I SH_I L_I IY_E
LAVON	L_B AE_I V_I AX_I N_E
LAW	L_B AO_E #2
LAW'S	L_B AO_I Z_E #1
LAW-ABIDING	L_B AO_I AX_I B_I AY_I D_I IH_I NG_E #2
LAW-N-	L_B AO_E #3
LAW-S-	L_B AO_E #4
LAWFUL	L_B AO_I F_I AX_I L_E #2
LAWLER'S	L_B AO_I L_I ER_I Z_E
LAWLESSNESS	L_B AO_I L_I IH_I S_I N_I IH_I S_E
LAWMAKING	L_B AO_I M_I EY_I K_I IH_I NG_E
LAWN	L_B AO_I N_E #2
LAWNS	L_B AO_I N_I Z_E
LAWRENCE	L_B OW_I R_I IH_I N_I S_E
LAWREY'S	L_B AO_I R_I IY_I Z_E #1
LAWRY'S	L_B AO_I R_I IY_I Z_E #2
LAWS	L_B AO_I Z_E #2
LAWSUIT	L_B AO_I S_I UW_I T_E
LAWSUITS	L_B AO_I S_I UW_I T_I S_E
LAWY-ERS-	L_B AO_I Y_E
LAWYER	L_B AO_I Y_I ER_E #2
LAWYER'S	L_B AO_I Y_I ER_I Z_E #2
LAWYERS	L_B AO_I Y_I ER_I Z_E #3
LAX	L_B AE_I K_I S_E #2
LAY	L_B EY_E #8
LAY-OVER-	L_B EY_E #9
LAYED	L_B EY_I D_E #4
LAYER	L_B EY_I ER_E
LAYER'S	L_B EY_I ER_I Z_E #1
LAYERED	L_B EY_I ER_I D_E
LAYERING	L_B EY_I AX_I R_I IH_I NG_E
LAYERINGS	L_B EY_I AX_I R_I IH_I NG_I Z_E
LAYERS	L_B EY_I ER_I Z_E #2
LAYING	L_B EY_I IH_I NG_E #2
LAYMAN'S	L_B EY_I M_I AX_I N_I Z_E
LAYOFF	L_B EY_I AO_I F_E
LAYOFFS	L_B EY_I AO_I F_I S_E
LAYOUT	L_B EY_I AW_I T_E
LAYOUTS	L_B EY_I AW_I T_I S_E
LAYOVERS	L_B EY_I OW_I V_I ER_I Z_E
LAYS	L_B EY_I Z_E
LAYTON	L_B EY_I T_I EN_E
LAZIEST	L_B EY_I Z_I IY_I IH_I S_I T_E
LAZINESS	L_B EY_I Z_I IY_I N_I IH_I S_E
LAZY	L_B EY_I Z_I IY_E #2
LB	EH_B L_I B_I IY_E
LBJ	EH_B L_I B_I IY_I JH_I EY_E #2
LBJ'S	EH_B L_I B_I IY_I JH_I EH_I Z_E
LC	EH_B L_I S_I IY_E
LCD	EH_B L_I S_I IY_I D_I IY_E
LDLS	EH_B L_I D_I IY_I EH_I L_I Z_E
LDS	EH_B L_I D_I IY_I EH_I S_E
LE	L_B AH_E #1
LE-D-	L_B EH_E #1
LE-FT-	L_B EH_E #2
LE-G-	L_B EH_E #3
LE-GALLY-	L_B IY_E #3
LE-GISLATION-	L_B EH_I JH_E #1
LE-GITIMATE-	L_B AX_E #2
LE-LAND-	L_B IY_E #4
LE-NGTH-	L_B EH_E #4
LE-S-	L_B EH_E #5
LE-SS-	L_B EH_E #6
LE-T'S-	L_B EH_E #7
LE-T-	L_B EH_E #8
LE-TTER-	L_B EH_E #9
LEA	L_B IY_E #5
LEA-D-	L_B EH_E #10
LEA-F-	L_B IY_E #6
LEA-GUE-	L_B IY_E #7
LEA-NED-	L_B IY_E #8
LEA-ST-	L_B IY_E #9
LEA-VE-	L_B IY_E #10
LEACH	L_B IY_I CH_E #1
LEAD	L_B EH_I D_E #1
LEAD'S	L_B EH_I D_E #2
LEADED	L_B EH_I D_I IH_I D_E
LEADER	L_B IY_I D_I ER_E
LEADERS	L_B IY_I D_I ER_I Z_E
LEADERSH-IP-	L_B IY_I D_I ER_I SH_E
LEADERSHIP	L_B IY_I D_I ER_I SH_I IH_I P_E
LEADING	L_B EH_I D_I IH_I NG_E
LEADS	L_B EH_I D_I Z_E
LEAF	L_B IY_I F_E
LEAFED	L_B IY_I F_I T_E
LEAFING	L_B IY_I F_I IH_I NG_E
LEAFY	L_B IY_I F_I IY_E
LEAGUE	L_B IY_I G_E
LEAGUE'S	L_B IY_I G_I Z_E #1
LEAGUERS	L_B IY_I G_I ER_I Z_E
LEAGUES	L_B IY_I G_I Z_E #2
LEAK	L_B IY_I K_E
LEAKAGE	L_B IY_I K_I IH_I JH_E
LEAKED	L_B IY_I K_I T_E
LEAKING	L_B IY_I K_I IH_I NG_E
LEAKS	L_B IY_I K_I S_E
LEAKY	L_B IY_I K_I IY_E
LEAN	L_B IY_I N_E
LEAN-TO	L_B IY_I N_I T_I UW_E
LEAN-TO'S	L_B IY_I N_I T_I UW_I Z_E
LEANED	L_B IY_I N_I D_E
LEANER	L_B IY_I N_I ER_E
LEANING	L_B IY_I N_I IH_I NG_E
LEANINGS	L_B IY_I N_I IH_I NG_I Z_E
LEANS	L_B IY_I N_I Z_E
LEAP	L_B IY_I P_E
LEAPFROG	L_B IY_I P_I F_I R_I AO_I G_E
LEAPS	L_B IY_I P_I S_E
LEAR-N-	L_B ER_E #2
LEAR-NED-	L_B ER_E #3
LEAR-NING-	L_B ER_E #4
LEARN	L_B ER_I N_E #2
LEARNED	L_B ER_I N_I D_E #2
LEARNER	L_B ER_I N_I ER_E
LEARNERS	L_B ER_I N_I ER_I Z_E
LEARNING	L_B ER_I N_I IH_I NG_E #2
LEARNS	L_B ER_I N_I Z_E
LEAS-T-	L_B IY_I S_E #1
LEASE	L_B IY_I S_E #2
LEASED	L_B IY_I S_I T_E #2
LEASES	L_B IY_I S_I IH_I Z_E #2
LEASH	L_B IY_I SH_E
LEASING	L_B IY_I S_I IH_I NG_E
LEAST	L_B IY_I S_I T_E #3
LEATHER	L_B EH_I DH_I ER_E
LEATHERY	L_B EH_I DH_I AX_I R_I IY_E
LEAVE	L_B IY_I V_E #2
LEAVENWORTH	L_B EH_I V_I IH_I N_I W_I ER_I TH_E
LEAVES	L_B IY_I V_I Z_E
LEAVING	L_B IY_I V_I IH_I NG_E
LEBANESE	L_B EH_I B_I AX_I N_I IY_I Z_E
LEBANON	L_B EH_I B_I AX_I N_I AA_I N_E
LEBARON	L_B AX_I B_I AE_I R_I AX_I N_E
LEBARONS	L_B AX_I B_I AE_I R_I AX_I N_I Z_E
LECI-THIN-	L_B EH_I S_I IH_E
LECITHIN	L_B EH_I S_I IH_I TH_I IH_I N_E
LECTOR	L_B EH_I K_I T_I ER_E
LECTURE	L_B EH_I K_I CH_I ER_E
LECTURES	L_B EH_I K_I CH_I ER_I Z_E
LECTURING	L_B EH_I K_I CH_I AX_I R_I IH_I NG_E
LED	EH_B L_I IY_I D_I IY_E
LED	L_B EH_I D_E #3
LEDGE	L_B EH_I JH_E #2
LEDGER	L_B EH_I JH_I ER_E
LEDGERS	L_B EH_I JH_I ER_I Z_E
LEDGES	L_B EH_I JH_I IH_I Z_E
LEE	L_B IY_E #11
LEECH	L_B IY_I CH_E #2
LEERY	L_B IY_I R_I IY_E
LEESBURG	L_B IY_I Z_I B_I ER_I G_E
LEEVER	L_B IY_I V_I ER_E
LEEWAY	L_B IY_I W_I EY_E
LEEZA	L_B IY_I Z_I AX_E
LEF-T-	L_B EH_I F_E
LEFT	L_B EH_I F_I T_E #2
LEFTOVER	L_B EH_I F_I T_I OW_I V_I ER_E
LEFTOVERS	L_B EH_I F_I T_I OW_I V_I ER_I Z_E
LEFTY	L_B EH_I F_I T_I IY_E
LEG	L_B EH_I G_E
LEG'S	L_B EH_I G_I Z_E #2
LEGA-CY-	L_B EH_I G_I AX_E
LEGACY	L_B EH_I G_I AX_I S_I IY_E
LEGAL	L_B IY_I G_I AX_I L_E
LEGALESE	L_B IY_I G_I AX_I L_I IY_I Z_E
LEGALISTIC	L_B IY_I G_I AX_I L_I IH_I S_I T_I IH_I K_E
LEGALITY	L_B IY_I G_I AE_I L_I IH_I T_I IY_E
LEGALIZATION	L_B IY_I G_I AX_I L_I IH_I Z_I EY_I SH_I IH_I N_E
LEGALIZE	L_B IY_I G_I AX_I L_I AY_I Z_E
LEGALIZED	L_B IY_I G_I AX_I L_I AY_I Z_I D_E
LEGALIZING	L_B IY_I G_I AX_I L_I AY_I Z_I IH_I NG_E
LEGALLY	L_B IY_I G_I AX_I L_I IY_E
LEGALS	L_B IY_I G_I AX_I L_I Z_E
LEGEND	L_B EH_I JH_I IH_I N_I D_E
LEGENDARY	L_B EH_I JH_I IH_I N_I D_I EH_I R_I IY_E
LEGENDS	L_B EH_I JH_I IH_I N_I D_I Z_E
LEGGED	L_B EH_I G_I D_E
LEGGINGS	L_B EH_I G_I IH_I NG_I Z_E
LEGIBLE	L_B EH_I JH_I IH_I B_I AX_I L_E
LEGION	L_B IY_I JH_I IH_I N_E
LEGIS-LATORS'-	L_B EH_I JH_I IH_I S_E
LEGISLAT-ING-	L_B EH_I JH_I IH_I S_I L_I EY_I T_E #1
LEGISLATE	L_B EH_I JH_I IH_I S_I L_I EY_I T_E #2
LEGISLATED	L_B EH_I JH_I IH_I S_I L_I EY_I T_I IH_I D_E
LEGISLATING	L_B EH_I JH_I IH_I S_I L_I EY_I T_I IH_I NG_E
LEGISLATION	L_B EH_I JH_I IH_I S_I L_I EY_I SH_I IH_I N_E
LEGISLATION'S	L_B EH_I JH_I IH_I S_I L_I EY_I SH_I IH_I N_I S_E
LEGISLATIVE	L_B EH_I JH_I IH_I S_I L_I EY_I T_I IH_I V_E
LEGISLATOR	L_B EH_I JH_I IH_I S_I L_I EY_I T_I ER_E
LEGISLATORS	L_B EH_I JH_I IH_I S_I L_I EY_I T_I ER_I Z_E #1
LEGISLATORS'	L_B EH_I JH_I IH_I S_I L_I EY_I T_I ER_I Z_E #2
LEGISLATURE	L_B EH_I JH_I IH_I S_I L_I EY_I CH_I ER_E
LEGISLATURES	L_B EH_I JH_I IH_I S_I L_I EY_I CH_I ER_I Z_E
LEGITIMATE	L_B AX_I JH_I IH_I T_I IH_I M_I IH_I T_E
LEGITIMATELY	L_B AX_I JH_I IH_I T_I IH_I M_I IH_I T_I L_I IY_E
LEGO	L_B EH_I G_I OW_E
LEGOS	L_B EH_I G_I OW_I Z_E
LEGS	L_B EH_I G_I Z_E #3
LEH-RER-	L_B EH_E #11
LEHRER	L_B EH_I R_I ER_E
LEIGH	L_B IY_E #12
LEISURE	L_B EH_I ZH_I ER_E
LEISURELY	L_B EH_I ZH_I ER_I L_I IY_E
LELAND	L_B IY_I L_I AX_I N_I D_E
LELAND'S	L_B IY_I L_I AX_I N_I D_I Z_E
LEM-ON-	L_B EH_I M_E #2
LEMEAUX	L_B AX_I M_I Y_I UW_E
LEMMON	L_B EH_I M_I AX_I N_E #1
LEMON	L_B EH_I M_I AX_I N_E #2
LEMONS	L_B EH_I M_I AX_I N_I Z_E
LEND	L_B EH_I N_I D_E
LENDING	L_B EH_I N_I D_I IH_I NG_E
LENDS	L_B EH_I N_I D_I Z_E
LENGTH	L_B EH_I NG_I K_I TH_E #2
LENGTHS	L_B EH_I NG_I K_I TH_I S_E
LENGTHWAYS	L_B EH_I NG_I K_I TH_I W_I EY_I Z_E
LENGTHWISE	L_B EH_I NG_I K_I TH_I W_I AY_I Z_E
LENGTHY	L_B EH_I NG_I K_I TH_I IY_E
LENIENCY	L_B IY_I N_I IY_I IH_I N_I S_I IY_E
LENIENT	L_B IY_I N_I IY_I IH_I N_I T_E
LENIN	L_B EH_I N_I IH_I N_E #1
LENINIST	L_B EH_I N_I IH_I N_I IH_I S_I T_E
LENNON	L_B EH_I N_I IH_I N_E #2
LENNON'S	L_B EH_I N_I IH_I N_I Z_E
LENO	L_B EH_I N_I OW_E
LENORE	L_B AX_I N_I OW_I R_E
LENS	L_B EH_I N_I Z_E
LENSES	L_B EH_I N_I Z_I IH_I Z_E
LENT	L_B EH_I N_I T_E
LENTIL	L_B EH_I N_I T_I AX_I L_E
LENTILS	L_B EH_I N_I T_I AX_I L_I Z_E
LEONA	L_B IY_I OW_I N_I AX_E
LEONARD	L_B EH_I N_I ER_I D_E
LEOPOLD	L_B IY_I AX_I P_I OW_I L_I D_E
LEOTARDS	L_B IY_I AX_I T_I AA_I R_I D_I Z_E #2
LEPER	L_B EH_I P_I ER_E
LEPERS	L_B EH_I P_I ER_I Z_E
LES	EH_B L_I IY_I EH_I S_E
LES	L_B EH_I S_E #3
LES-LIE-	L_B EH_I S_E #4
LESBIANS	L_B EH_I Z_I B_I IY_I IH_I N_I Z_E
LESLIE	L_B EH_I S_I L_I IY_E
LESS	L_B EH_I S_E #5
LESSEN	L_B EH_I S_I IH_I N_E #1
LESSENED	L_B EH_I S_I IH_I N_I D_E
LESSENING	L_B EH_I S_I IH_I N_I IH_I NG_E
LESSER	L_B EH_I S_I ER_E
LESSON	L_B EH_I S_I IH_I N_E #2
LESSONS	L_B EH_I S_I IH_I N_I Z_E
LESTER	L_B EH_I S_I T_I ER_E
LET	L_B EH_I T_E #2
LET'S	L_B EH_I T_I S_E #1
LETDOWN	L_B EH_I T_I D_I AW_I N_E
LETHAL	L_B IY_I TH_I AX_I L_E
LETHARGIC	L_B AX_I TH_I AA_I R_I JH_I IH_I K_E
LETS	L_B EH_I T_I S_E #2
LETTER	L_B EH_I T_I ER_E
LETTERING	L_B EH_I T_I AX_I R_I IH_I NG_E
LETTERMAN	L_B EH_I T_I ER_I M_I AX_I N_E
LETTERMAN'S	L_B EH_I T_I ER_I M_I AX_I N_I Z_E
LETTERS	L_B EH_I T_I ER_I Z_E
LETTING	L_B EH_I T_I IH_I NG_E
LETTUCE	L_B EH_I T_I IH_I S_E
LEUKEMIA	L_B UW_I K_I IY_I M_I IY_I AX_E
LEV-EL-	L_B EH_I V_E
LEVEE	L_B EH_I V_I IY_E #1
LEVEL	L_B EH_I V_I AX_I L_E #2
LEVEL'S	L_B EH_I V_I AX_I L_I Z_E #1
LEVELED	L_B EH_I V_I AX_I L_I D_E
LEVELHEADED	L_B EH_I V_I AX_I L_I HH_I EH_I D_I IH_I D_E
LEVELS	L_B EH_I V_I AX_I L_I Z_E #2
LEVER	L_B EH_I V_I ER_E
LEVERAGE	L_B EH_I V_I AX_I R_I IH_I JH_E
LEVI'S	L_B IY_I V_I AY_I Z_E #1
LEVIED	L_B EH_I V_I IY_I D_E
LEVIES	L_B EH_I V_I IY_I Z_E
LEVINSON	L_B EH_I V_I IH_I N_I S_I AX_I N_E
LEVIS	L_B IY_I V_I AY_I Z_E #2
LEVITY	L_B EH_I V_I IH_I T_I IY_E
LEVY	L_B EH_I V_I IY_E #2
LEWIS	L_B UW_I IH_I S_E #1
LEWISBURG	L_B UW_I IH_I S_I B_I ER_I G_E
LEWISVILLE	L_B UW_I IH_I S_I V_I IH_I L_E #1
LEWISVILLE'S	L_B UW_I IH_I S_I V_I IH_I L_I Z_E #1
LEXUS	L_B EH_I K_I S_I IH_I S_E
LEXUSES	L_B EH_I K_I S_I IH_I S_I IH_I Z_E
LHASA	L_B AA_I S_I AX_E
LI-BERAL-	L_B IH_E #1
LI-BRARIES-	L_B AY_E #1
LI-CENSE-	L_B AY_E #2
LI-FE-	L_B AY_E #3
LI-GHT-	L_B AY_E #4
LI-KE-	L_B AY_E #5
LI-KED-	L_B AY_E #6
LI-KELY-	L_B AY_E #7
LI-KES-	L_B AY_E #8
LI-NE-	L_B AY_E #9
LI-STEN-	L_B IH_E #2
LI-STENED-	L_B IH_E #3
LI-STENING-	L_B IH_E #4
LI-THUANIA-	L_B IH_E #5
LI-TTLE-	L_B IH_E #6
LI-VE-	L_B AY_E #10
LI-VED-	L_B IH_E #7
LI-VES-	L_B AY_E #11
LI-VING-	L_B IH_E #8
LIABILITIES	L_B AY_I AX_I B_I IH_I L_I IH_I T_I IY_I Z_E
LIABILITY	L_B AY_I AX_I B_I IH_I L_I IH_I T_I IY_E
LIABLE	L_B AY_I AX_I B_I AX_I L_E
LIARS	L_B AY_I R_I Z_E
LIB	L_B IH_I B_E #1
LIB-ERTY-	L_B IH_I B_E #2
LIBBER	L_B IH_I B_I ER_E
LIBBERS	L_B IH_I B_I ER_I Z_E
LIBER-AL-	L_B IH_I B_I AX_I R_E
LIBERAL	L_B IH_I B_I AX_I R_I AX_I L_E #2
LIBERALISM	L_B IH_I B_I AX_I R_I AX_I L_I IH_I Z_I AX_I M_E #2
LIBERALIZATION	L_B IH_I B_I AX_I R_I AX_I L_I IH_I Z_I EY_I SH_I IH_I N_E
LIBERALS	L_B IH_I B_I AX_I R_I AX_I L_I Z_E
LIBERATE	L_B IH_I B_I AX_I R_I EY_I T_E
LIBERATED	L_B IH_I B_I AX_I R_I EY_I T_I IH_I D_E
LIBERATION	L_B IH_I B_I AX_I R_I EY_I SH_I IH_I N_E
LIBERIA	L_B AY_I B_I IY_I R_I IY_I AX_E
LIBERTARIAN	L_B IH_I B_I ER_I T_I EH_I R_I IY_I IH_I N_E
LIBERTIES	L_B IH_I B_I ER_I T_I IY_I Z_E
LIBERTY	L_B IH_I B_I ER_I T_I IY_E
LIBIDO	L_B IH_I B_I IY_I D_I OW_E
LIBRA-RY-	L_B AY_I B_I R_I EH_E
LIBRARIAN	L_B AY_I B_I R_I EY_I R_I IY_I IH_I N_E
LIBRARIES	L_B AY_I B_I R_I EH_I R_I IY_I Z_E #1
LIBRARY	L_B AY_I B_I R_I EH_I R_I IY_E
LIBRARY'S	L_B AY_I B_I R_I EH_I R_I IY_I Z_E #2
LIBREG	L_B IH_I B_I R_I EH_I G_E
LIBRETTO	L_B IH_I B_I R_I EH_I T_I OW_E
LIBYA	L_B IH_I B_I IY_I AX_E
LICENSE	L_B AY_I S_I IH_I N_I S_E #2
LICENSED	L_B AY_I S_I IH_I N_I S_I T_E
LICENSES	L_B AY_I S_I IH_I N_I S_I IH_I Z_E
LICENSING	L_B AY_I S_I IH_I N_I S_I IH_I NG_E
LICK	L_B IH_I K_E
LICKED	L_B IH_I K_I T_E
LICKING	L_B IH_I K_I IH_I NG_E
LICKS	L_B IH_I K_I S_E
LID	L_B IH_I D_E
LIDS	L_B IH_I D_I Z_E
LIE	L_B AY_E #12
LIED	L_B AY_I D_E
LIEN	L_B IY_I AX_I N_E
LIENS	L_B IY_I AX_I N_I Z_E
LIES	L_B AY_I Z_E
LIEU	L_B UW_E #1
LIEUTENANT	L_B UW_I T_I EH_I N_I IH_I N_I T_E
LIFE	L_B AY_I F_E #2
LIFE'S	L_B AY_I F_I S_E #2
LIFEGUARD	L_B AY_I F_I G_I AA_I R_I D_E
LIFELIKE	L_B AY_I F_I L_I AY_I K_E
LIFELONG	L_B AY_I F_I L_I AO_I NG_E
LIFESAVER	L_B AY_I F_I S_I EY_I V_I ER_E
LIFESTYLE	L_B AY_I F_I S_I T_I AY_I L_E
LIFESTYLES	L_B AY_I F_I S_I T_I AY_I L_I Z_E
LIFETIME	L_B AY_I F_I T_I AY_I M_E #2
LIFT	L_B IH_I F_I T_E #1
LIFT-ING-	L_B IH_I F_I T_E #2
LIFTED	L_B IH_I F_I T_I IH_I D_E
LIFTER	L_B IH_I F_I T_I ER_E
LIFTERS	L_B IH_I F_I T_I ER_I Z_E
LIFTING	L_B IH_I F_I T_I IH_I NG_E
LIFTS	L_B IH_I F_I S_E
LIG-AMENTS-	L_B IH_I G_E
LIGAMENTS	L_B IH_I G_I AX_I M_I IH_I N_I T_I S_E #2
LIGH-TNING-	L_B AY_E #13
LIGHT	L_B AY_I T_E #2
LIGHTEN	L_B AY_I T_I EN_E
LIGHTENED	L_B AY_I T_I EN_I D_E
LIGHTER	L_B AY_I T_I ER_E
LIGHTFOOT	L_B AY_I T_I F_I UH_I T_E
LIGHTHEADED	L_B AY_I T_I HH_I EH_I D_I IH_I D_E
LIGHTHEARTED	L_B AY_I T_I HH_I AA_I R_I T_I IH_I D_E
LIGHTING	L_B AY_I T_I IH_I NG_E
LIGHTLY	L_B AY_I T_I L_I IY_E
LIGHTNING	L_B AY_I T_I N_I IH_I NG_E
LIGHTS	L_B AY_I T_I S_E
LIGHTWEIGHT	L_B AY_I T_I W_I EY_I T_E
LIGUSTRUM	L_B IH_I G_I AX_I S_I T_I R_I AX_I M_E
LIGUSTRUMS	L_B IH_I G_I AX_I S_I T_I R_I AX_I M_I Z_E
LIKE	L_B AY_I K_E #2
LIKE'S	L_B AY_I K_I S_E #2
LIKED	L_B AY_I K_I T_E #2
LIKELIHOOD	L_B AY_I K_I L_I IY_I HH_I UH_I D_E #2
LIKELY	L_B AY_I K_I L_I IY_E
LIKEN	L_B AY_I K_I AX_I N_E
LIKES	L_B AY_I K_I S_E #3
LIKEWATCH	L_B AY_I K_I W_I AO_I CH_E
LIKEWISE	L_B AY_I K_I W_I AY_I Z_E
LIKING	L_B AY_I K_I IH_I NG_E
LILAC	L_B AY_I L_I AE_I K_E
LILIES	L_B IH_I L_I IY_I Z_E
LILLY	L_B IH_I L_I IY_E #1
LILTING	L_B IH_I L_I T_I IH_I NG_E
LILY	L_B IH_I L_I IY_E #2
LIMA	L_B AY_I M_I AX_E
LIMB	L_B IH_I M_E
LIMBAUGH	L_B IH_I B_I AO_E
LIMBERS	L_B IH_I M_I B_I ER_I Z_E
LIMBO	L_B IH_I M_I B_I OW_E
LIMBS	L_B IH_I M_I Z_E
LIME	L_B AY_I M_E #1
LIME-STONE-	L_B AY_I M_E #2
LIMELIGHT	L_B AY_I M_I L_I AY_I T_E
LIMESTONE	L_B AY_I M_I S_I T_I OW_I N_E
LIMI-TED-	L_B IH_I M_I IH_E
LIMIT	L_B IH_I M_I IH_I T_E #2
LIMIT'S	L_B IH_I M_I IH_I T_I S_E #1
LIMITATION	L_B IH_I M_I IH_I T_I EY_I SH_I IH_I N_E
LIMITATIONS	L_B IH_I M_I IH_I T_I EY_I SH_I IH_I N_I Z_E #2
LIMITED	L_B IH_I M_I IH_I T_I IH_I D_E
LIMITING	L_B IH_I M_I IH_I T_I IH_I NG_E
LIMITS	L_B IH_I M_I IH_I T_I S_E #2
LIMO	L_B IH_I M_I OW_E
LIMOUSINE	L_B IH_I M_I AX_I Z_I IY_I N_E #2
LIMOUSINES	L_B IH_I M_I AX_I Z_I IY_I N_I Z_E
LIMP	L_B IH_I M_I P_E
LIMPING	L_B IH_I M_I P_I IH_I NG_E
LIN-GO-	L_B IH_I NG_E #1
LINCOLN	L_B IH_I NG_I K_I AX_I N_E
LINCOLNS	L_B IH_I NG_I K_I AX_I N_I Z_E
LINDA	L_B IH_I N_I D_I AX_E #1
LINDBURGH	L_B IH_I N_I D_I B_I ER_I G_E
LINDLEY	L_B IH_I N_I D_I L_I IY_E
LINE	L_B AY_I N_E #2
LINEAR	L_B IH_I N_I IY_I ER_E
LINEARLY	L_B IH_I N_I IY_I ER_I L_I IY_E
LINEBACKER	L_B AY_I N_I B_I AE_I K_I ER_E
LINEBACKER'S	L_B AY_I N_I B_I AE_I K_I ER_I Z_E
LINED	L_B AY_I N_I D_E
LINEMAN	L_B AY_I N_I M_I AX_I N_E #1
LINEMEN	L_B AY_I N_I M_I AX_I N_E #2
LINEN	L_B IH_I N_I IH_I N_E
LINENS	L_B IH_I N_I IH_I N_I Z_E
LINER	L_B AY_I N_I ER_E
LINERS	L_B AY_I N_I ER_I Z_E
LINES	L_B AY_I N_I Z_E
LINEUP	L_B AY_I N_I AH_I P_E
LING	L_B IH_I NG_E #2
LINGERIE	L_B AA_I N_I ZH_I AX_I R_I EY_E
LINGERING	L_B IH_I NG_I G_I AX_I R_I IH_I NG_E
LINGERS	L_B IH_I NG_I G_I ER_I Z_E
LINGO	L_B IH_I NG_I G_I OW_E
LINGUINI	L_B IH_I NG_I G_I W_I IY_I N_I IY_E
LINGUIST	L_B IH_I NG_I G_I W_I IH_I S_I T_E
LINGUISTIC	L_B IH_I NG_I G_I W_I IH_I S_I T_I IH_I K_E
LINGUISTICS	L_B IH_I NG_I G_I W_I IH_I S_I T_I IH_I K_I S_E
LINING	L_B AY_I N_I IH_I NG_E
LINK	L_B IH_I NG_I K_E
LINKED	L_B IH_I NG_I K_I T_E
LINKING	L_B IH_I NG_I K_I IH_I NG_E #2
LINNSTAEDTER	L_B IH_I N_I S_I T_I EH_I T_I ER_E
LINOLEUM	L_B IH_I N_I OW_I L_I IY_I AX_I M_E
LINT	L_B IH_I N_I T_E
LION	L_B AY_I AX_I N_E
LION'S	L_B AY_I AX_I N_I Z_E #1
LIONEL	L_B AY_I AX_I N_I AX_I L_E
LIONELS	L_B AY_I AX_I N_I AX_I L_I S_E
LIONHEART	L_B AY_I AX_I N_I HH_I AA_I R_I T_E
LIONS	L_B AY_I AX_I N_I Z_E #2
LIP	L_B IH_I P_E
LIPS	L_B IH_I P_I S_E
LIPSCOMB	L_B IH_I P_I S_I K_I OW_I M_E
LIPSTICK	L_B IH_I P_I S_I T_I IH_I K_E
LIPSTICKS	L_B IH_I P_I S_I T_I IH_I K_I S_E
LIPTON	L_B IH_I P_I T_I AX_I N_E
LIQUEFY	L_B IH_I K_I W_I IH_I F_I AY_E
LIQUID	L_B IH_I K_I W_I IH_I D_E
LIQUIDATING	L_B IH_I K_I W_I IH_I D_I EY_I T_I IH_I NG_E
LIQUIDS	L_B IH_I K_I W_I IH_I D_I Z_E
LIQUOR	L_B IH_I K_I ER_E
LIS-TEN-	L_B IH_I S_E #1
